url,name,abbr,type,discipline,publisher,region,reason,source,entry_id,name_norm,abbr_norm,url_domain,url_root,risk_level,norwegian_level,publisher_entry_id,inherited_from_publisher,publisher_name_matched,publisher_url_matched,inherited_risk_level,warning_summary,norwegian_level_checked,norwegian_level_year,norwegian_level_basis,norwegian_level_source,manual_check_homepage,manual_check_google,manual_check_google_predatory_query,manual_check_doaj,manual_check_cope,manual_check_nlm_catalog,manual_check_pubmed_search,manual_check_scimagojr,manual_check_kanalregister
http://1088.email/,1088 Email Press,,publisher,,,,,Stop Predatory Journals list (2025),a1d3dd17e12295f1,1088 email press,,1088.email,1088.email,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://1088.email/,https://www.google.com/search?q=1088+Email+Press,https://www.google.com/search?q=predatory+journal+1088+Email+Press,,https://publicationethics.org/search?t=1088+Email+Press,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=1088+Email+Press
http://2425publishers.org/,2425 Publishers,,publisher,,,,,Stop Predatory Journals list (2025),cf51ca0f9de2d977,2425 publishers,,2425publishers.org,2425publishers.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://2425publishers.org/,https://www.google.com/search?q=2425+Publishers,https://www.google.com/search?q=predatory+journal+2425+Publishers,,https://publicationethics.org/search?t=2425+Publishers,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=2425+Publishers
http://www.5thpublisher.com/,The 5th Publisher,,publisher,,,,,Stop Predatory Journals list (2025),61d27817adf35783,the 5th publisher,,5thpublisher.com,5thpublisher.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://www.5thpublisher.com/,https://www.google.com/search?q=The+5th+Publisher,https://www.google.com/search?q=predatory+journal+The+5th+Publisher,,https://publicationethics.org/search?t=The+5th+Publisher,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=The+5th+Publisher
http://www.abcjournals.net/,ABC Journals,,publisher,,,,,Stop Predatory Journals list (2025),c89a88e6ce419bfc,abc journals,,abcjournals.net,abcjournals.net,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://www.abcjournals.net/,https://www.google.com/search?q=ABC+Journals,https://www.google.com/search?q=predatory+journal+ABC+Journals,,https://publicationethics.org/search?t=ABC+Journals,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=ABC+Journals
http://ampublisher.com/index.html,A M Publishers,,publisher,,,,,Stop Predatory Journals list (2025),68c0d09d75a2cd25,a m publishers,,ampublisher.com,ampublisher.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://ampublisher.com/index.html,https://www.google.com/search?q=A+M+Publishers,https://www.google.com/search?q=predatory+journal+A+M+Publishers,,https://publicationethics.org/search?t=A+M+Publishers,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=A+M+Publishers
http://www.abhinavjournal.com/,Abhinav,,publisher,,,,,Stop Predatory Journals list (2025),2502a8507a8cc9b7,abhinav,,abhinavjournal.com,abhinavjournal.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://www.abhinavjournal.com/,https://www.google.com/search?q=Abhinav,https://www.google.com/search?q=predatory+journal+Abhinav,,https://publicationethics.org/search?t=Abhinav,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=Abhinav
http://www.academeresearchjournals.org/,Academe Research Journals,,publisher,,,,,Stop Predatory Journals list (2025),0ae732c96522090c,academe research journals,,academeresearchjournals.org,academeresearchjournals.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://www.academeresearchjournals.org/,https://www.google.com/search?q=Academe+Research+Journals,https://www.google.com/search?q=predatory+journal+Academe+Research+Journals,,https://publicationethics.org/search?t=Academe+Research+Journals,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=Academe+Research+Journals
http://academiapublishing.org/index.htm,Academia Publishing,,publisher,,,,,Stop Predatory Journals list (2025),0c8c46852ea0e022,academia publishing,,academiapublishing.org,academiapublishing.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://academiapublishing.org/index.htm,https://www.google.com/search?q=Academia+Publishing,https://www.google.com/search?q=predatory+journal+Academia+Publishing,,https://publicationethics.org/search?t=Academia+Publishing,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=Academia+Publishing
http://academiaresearch.org/,Academia Research,,publisher,,,,,Stop Predatory Journals list (2025),91a25266c6fc8a10,academia research,,academiaresearch.org,academiaresearch.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://academiaresearch.org/,https://www.google.com/search?q=Academia+Research,https://www.google.com/search?q=predatory+journal+Academia+Research,,https://publicationethics.org/search?t=Academia+Research,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=Academia+Research
http://www.academiascholarlyjournal.org/,Academia Scholarly Journals,ASJ,publisher,,,,,Stop Predatory Journals list (2025),c35798104bde9eb8,academia scholarly journals,asj,academiascholarlyjournal.org,academiascholarlyjournal.org,high,0,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,norwegian_csv_publisher,2025-12-23 Scientific Journals and Series.csv,http://www.academiascholarlyjournal.org/,https://www.google.com/search?q=Academia+Scholarly+Journals,https://www.google.com/search?q=predatory+journal+Academia+Scholarly+Journals,,https://publicationethics.org/search?t=Academia+Scholarly+Journals,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=Academia+Scholarly+Journals
http://www.aabri.com/,Academic and Business Research Institute,,publisher,,,,,Stop Predatory Journals list (2025),8e26fb14153f9717,academic and business research institute,,aabri.com,aabri.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://www.aabri.com/,https://www.google.com/search?q=Academic+and+Business+Research+Institute,https://www.google.com/search?q=predatory+journal+Academic+and+Business+Research+Institute,,https://publicationethics.org/search?t=Academic+and+Business+Research+Institute,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=Academic+and+Business+Research+Institute
http://acascipub.com/,Academic and Scientific Publishing,,publisher,,,,,Stop Predatory Journals list (2025),3ee8b41960599a2e,academic and scientific publishing,,acascipub.com,acascipub.com,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://acascipub.com/,https://www.google.com/search?q=Academic+and+Scientific+Publishing,https://www.google.com/search?q=predatory+journal+Academic+and+Scientific+Publishing,,https://publicationethics.org/search?t=Academic+and+Scientific+Publishing,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=Academic+and+Scientific+Publishing
http://ph.academicdirect.org/,Academic Direct Publishing House,,publisher,,,,,Stop Predatory Journals list (2025),fa04493f03b39e0f,academic direct publishing house,,ph.academicdirect.org,academicdirect.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://ph.academicdirect.org/,https://www.google.com/search?q=Academic+Direct+Publishing+House,https://www.google.com/search?q=predatory+journal+Academic+Direct+Publishing+House,,https://publicationethics.org/search?t=Academic+Direct+Publishing+House,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=Academic+Direct+Publishing+House
http://www.academicjournals.org/,Academic Journals,,publisher,,,,,Stop Predatory Journals list (2025),9a7145fc25d8fbb3,academic journals,,academicjournals.org,academicjournals.org,high,1,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,norwegian_csv_publisher,2025-12-23 Scientific Journals and Series.csv,http://www.academicjournals.org/,https://www.google.com/search?q=Academic+Journals,https://www.google.com/search?q=predatory+journal+Academic+Journals,,https://publicationethics.org/search?t=Academic+Journals,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=Academic+Journals
http://www.acjar.org/index.html,Academic Journals and Research,ACJAR,publisher,,,,,Stop Predatory Journals list (2025),07fd77a4bb7cc74c,academic journals and research,acjar,acjar.org,acjar.org,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://www.acjar.org/index.html,https://www.google.com/search?q=Academic+Journals+and+Research,https://www.google.com/search?q=predatory+journal+Academic+Journals+and+Research,,https://publicationethics.org/search?t=Academic+Journals+and+Research,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=Academic+Journals+and+Research
http://www.academicjournalsonline.co.in/,Academic Journals Online,AJO,publisher,,,,,Stop Predatory Journals list (2025),1d8ca3c2f9accfe4,academic journals online,ajo,academicjournalsonline.co.in,academicjournalsonline.co.in,high,Unknown,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,not_found,Kanalregisteret CSV (2025-12-21),http://www.academicjournalsonline.co.in/,https://www.google.com/search?q=Academic+Journals+Online,https://www.google.com/search?q=predatory+journal+Academic+Journals+Online,,https://publicationethics.org/search?t=Academic+Journals+Online,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=Academic+Journals+Online
http://www.academicjournalsinc.com/,"Academic Journals, Inc.",,publisher,,,,,Stop Predatory Journals list (2025),3a2a80b9460c54a2,academic journals inc,,academicjournalsinc.com,academicjournalsinc.com,high,1,,False,,,,Listed in predatory journal/publisher watchlists.,True,2025,norwegian_csv_publisher,2025-12-23 Scientific Journals and Series.csv,http://www.academicjournalsinc.com/,https://www.google.com/search?q=Academic+Journals%2C+Inc.,https://www.google.com/search?q=predatory+journal+Academic+Journals%2C+Inc.,,https://publicationethics.org/search?t=Academic+Journals%2C+Inc.,,,,https://kanalregister.hkdir.no/en/search?type=publisher&query=Academic+Journals%2C+Inc.
